x-axix,y-axis,z-axis
"0.2124854","6.257246","7.507618"
"0.11911154","6.238691","7.277176"
"0.11911154","6.238691","7.277176"
"0.03172317","6.1584854","7.441179"
"0.03172317","6.1584854","7.441179"
"0.2148796","6.203975","7.731476"
"0.2148796","6.203975","7.731476"
"0.17537527","6.259042","7.5985975"
"0.17537527","6.259042","7.5985975"
"0.088585466","6.273407","7.53994"
"0.088585466","6.273407","7.53994"
"0.22984336","6.3458314","7.7727757"
"0.22984336","6.3458314","7.7727757"
"0.33758244","6.3793507","7.4603324"
"0.33758244","6.3793507","7.4603324"
"0.44113165","6.260239","7.8290396"
"0.44113165","6.260239","7.8290396"
"0.22505496","6.205771","7.4926543"
"0.22505496","6.205771","7.4926543"
"-0.45669398","6.3380504","7.363966"
"-0.45669398","6.3380504","7.363966"
"-0.59136784","6.4541693","7.1353197"
"-0.59136784","6.4541693","7.1353197"
"-0.8194155","6.4547677","7.5471225"
"-0.8194155","6.4547677","7.5471225"
"0.25019407","6.330868","7.3711486"
"0.25019407","6.330868","7.3711486"
"0.12330139","6.3182983","7.5692687"
"0.12330139","6.3182983","7.5692687"
"0.0796072","6.3123126","7.6530657"
"0.0796072","6.3123126","7.6530657"
"-0.56443304","6.491878","7.2221093"
"-0.56443304","6.491878","7.2221093"
"-0.017956512","6.369175","7.4429746"
"-0.017956512","6.369175","7.4429746"
"-0.11432313","6.3230867","7.291541"
"-0.11432313","6.3230867","7.291541"
"0.05805939","6.4002995","7.3442135"
"0.05805939","6.4002995","7.3442135"
"0.23642741","6.3003416","7.229292"
"0.23642741","6.3003416","7.229292"
"0.046088383","6.153697","7.7350674"
"0.046088383","6.153697","7.7350674"
"0.06943185","6.1806316","7.533954"
"0.06943185","6.1806316","7.533954"
"-0.025737667","6.2674217","7.501034"
"-0.025737667","6.2674217","7.501034"
"0.023942016","6.2686186","7.4974427"
"0.023942016","6.2686186","7.4974427"
